scenario_name,lookback_cycles,horizon,model,val_RMSE_mean,val_RMSE_std,val_RMSE_min,val_RMSE_max,val_MAE_mean,val_MAE_std,val_MAE_min,val_MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,val_RMSE_gap_vs_persistence_mean,val_RMSE_gap_vs_persistence_std,val_RMSE_gap_vs_persistence_min,val_RMSE_gap_vs_persistence_max,val_MAE_gap_vs_persistence_mean,val_MAE_gap_vs_persistence_std,val_MAE_gap_vs_persistence_min,val_MAE_gap_vs_persistence_max,RMSE_gap_vs_persistence_mean,RMSE_gap_vs_persistence_std,RMSE_gap_vs_persistence_min,RMSE_gap_vs_persistence_max,MAE_gap_vs_persistence_mean,MAE_gap_vs_persistence_std,MAE_gap_vs_persistence_min,MAE_gap_vs_persistence_max,val_RMSE_ratio_vs_persistence_mean,val_RMSE_ratio_vs_persistence_std,val_RMSE_ratio_vs_persistence_min,val_RMSE_ratio_vs_persistence_max,RMSE_ratio_vs_persistence_mean,RMSE_ratio_vs_persistence_std,RMSE_ratio_vs_persistence_min,RMSE_ratio_vs_persistence_max,train_samples_mean,train_samples_std,train_samples_min,train_samples_max,val_samples_mean,val_samples_std,val_samples_min,val_samples_max,test_samples_mean,test_samples_std,test_samples_min,test_samples_max,n_trials
lookback_5_horizon_10,5,10,cpmlp,0.0158684703710679,,0.0158684703710679,0.0158684703710679,0.0060970593041612,,0.0060970593041612,0.0060970593041612,0.0161585514755547,,0.0161585514755547,0.0161585514755547,0.007084955261187,,0.007084955261187,0.007084955261187,-0.001045718834978799,,-0.001045718834978799,-0.001045718834978799,-0.0012041385222465,,-0.0012041385222465,-0.0012041385222465,-0.0016520664523037992,,-0.0016520664523037992,-0.0016520664523037992,-0.0017293989691782004,,-0.0017293989691782004,-0.0017293989691782004,0.9381750539597273,,0.9381750539597273,0.9381750539597273,0.907242608931624,,0.907242608931624,0.907242608931624,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,cpdsconv,0.0159531560298807,,0.0159531560298807,0.0159531560298807,0.0064073779046562,,0.0064073779046562,0.0064073779046562,0.0164499911453585,,0.0164499911453585,0.0164499911453585,0.0077375369869296,,0.0077375369869296,0.0077375369869296,-0.0009610331761659985,,-0.0009610331761659985,-0.0009610331761659985,-0.0008938199217514995,,-0.0008938199217514995,-0.0008938199217514995,-0.001360626782499999,,-0.001360626782499999,-0.001360626782499999,-0.0010768172434356005,,-0.0010768172434356005,-0.0010768172434356005,0.94318183600415,,0.94318183600415,0.94318183600415,0.923605863198504,,0.923605863198504,0.923605863198504,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,cpgru,0.015987763727881,,0.015987763727881,0.015987763727881,0.006040629509213,,0.006040629509213,0.006040629509213,0.0164588234786897,,0.0164588234786897,0.0164588234786897,0.0073216764733509,,0.0073216764733509,0.0073216764733509,-0.0009264254781656996,,-0.0009264254781656996,-0.0009264254781656996,-0.0012605683171946994,,-0.0012605683171946994,-0.0012605683171946994,-0.0013517944491687993,,-0.0013517944491687993,-0.0013517944491687993,-0.0014926777570143006,,-0.0014926777570143006,-0.0014926777570143006,0.9452279109048568,,0.9452279109048568,0.9452279109048568,0.9241017658879545,,0.9241017658879545,0.9241017658879545,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,cpmlp_dsconv_fusion,0.0159924764140593,,0.0159924764140593,0.0159924764140593,0.0060329568284463,,0.0060329568284463,0.0060329568284463,0.016567524175355,,0.016567524175355,0.016567524175355,0.0072885814272017,,0.0072885814272017,0.0072885814272017,-0.0009217127919874009,,-0.0009217127919874009,-0.0009217127919874009,-0.0012682409979613996,,-0.0012682409979613996,-0.0012682409979613996,-0.0012430937525034977,,-0.0012430937525034977,-0.0012430937525034977,-0.0015257728031635009,,-0.0015257728031635009,-0.0015257728031635009,0.9455065341436588,,0.9455065341436588,0.9455065341436588,0.930204905998286,,0.930204905998286,0.930204905998286,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,cpmlp_cpdsconv_fusion,0.0160249848576455,,0.0160249848576455,0.0160249848576455,0.0061036425221923,,0.0061036425221923,0.0061036425221923,0.01655990388801,,0.01655990388801,0.01655990388801,0.0075146286715341,,0.0075146286715341,0.0075146286715341,-0.0008892043484012013,,-0.0008892043484012013,-0.0008892043484012013,-0.0011975553042153997,,-0.0011975553042153997,-0.0011975553042153997,-0.0012507140398484995,,-0.0012507140398484995,-0.0012507140398484995,-0.001299725558831101,,-0.001299725558831101,-0.001299725558831101,0.9474284970110588,,0.9474284970110588,0.9474284970110588,0.9297770551861543,,0.9297770551861543,0.9297770551861543,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,cpmlp_cpgru_fusion,0.0160597992403647,,0.0160597992403647,0.0160597992403647,0.0060026746873312,,0.0060026746873312,0.0060026746873312,0.0166644988424824,,0.0166644988424824,0.0166644988424824,0.0073937966361702,,0.0073937966361702,0.0073937966361702,-0.0008543899656820002,,-0.0008543899656820002,-0.0008543899656820002,-0.0012985231390764997,,-0.0012985231390764997,-0.0012985231390764997,-0.0011461190853760996,,-0.0011461190853760996,-0.0011461190853760996,-0.0014205575941950007,,-0.0014205575941950007,-0.0014205575941950007,0.9494867915172333,,0.9494867915172333,0.9494867915172333,0.9356496731321491,,0.9356496731321491,0.9356496731321491,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_10,5,10,persistence,0.0169141892060467,,0.0169141892060467,0.0169141892060467,0.0073011978264077,,0.0073011978264077,0.0073011978264077,0.0178106179278585,,0.0178106179278585,0.0178106179278585,0.0088143542303652,,0.0088143542303652,0.0088143542303652,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,10395.0,,10395,10395,2229.0,,2229,2229,2229.0,,2229,2229,1
lookback_5_horizon_50,5,50,cpmlp_cpgru_fusion,0.0497027393845199,,0.0497027393845199,0.0497027393845199,0.019392013711392,,0.019392013711392,0.019392013711392,0.0465373522751838,,0.0465373522751838,0.0465373522751838,0.0277314625341464,,0.0277314625341464,0.0277314625341464,-0.012904737641107805,,-0.012904737641107805,-0.012904737641107805,-0.0085758493018004,,-0.0085758493018004,-0.0085758493018004,-0.012386618853712998,,-0.012386618853712998,-0.012386618853712998,-0.009783419957388899,,-0.009783419957388899,-0.009783419957388899,0.7938786506949419,,0.7938786506949419,0.7938786506949419,0.7897864211049669,,0.7897864211049669,0.7897864211049669,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_50,5,50,cpmlp,0.0568272654315892,,0.0568272654315892,0.0568272654315892,0.0205233335242075,,0.0205233335242075,0.0205233335242075,0.0503818573003889,,0.0503818573003889,0.0503818573003889,0.0284853845585325,,0.0284853845585325,0.0284853845585325,-0.005780211594038506,,-0.005780211594038506,-0.005780211594038506,-0.0074445294889848995,,-0.0074445294889848995,-0.0074445294889848995,-0.008542113828507898,,-0.008542113828507898,-0.008542113828507898,-0.009029497933002797,,-0.009029497933002797,-0.009029497933002797,0.907675378906062,,0.907675378906062,0.907675378906062,0.8550315997911625,,0.8550315997911625,0.8550315997911625,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_50,5,50,cpmlp_cpdsconv_fusion,0.0568981728912877,,0.0568981728912877,0.0568981728912877,0.0204145372377595,,0.0204145372377595,0.0204145372377595,0.0504593022198285,,0.0504593022198285,0.0504593022198285,0.0285998539018186,,0.0285998539018186,0.0285998539018186,-0.005709304134340003,,-0.005709304134340003,-0.005709304134340003,-0.0075533257754329015,,-0.0075533257754329015,-0.0075533257754329015,-0.008464668909068301,,-0.008464668909068301,-0.008464668909068301,-0.008915028589716698,,-0.008915028589716698,-0.008915028589716698,0.9088079506541533,,0.9088079506541533,0.9088079506541533,0.8563459192091492,,0.8563459192091492,0.8563459192091492,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
