horizon,model,test_RMSE,test_MAE,val_RMSE,val_MAE,RMSE_improvement_vs_persistence,RMSE_improvement_percent_vs_persistence,MAE_improvement_vs_persistence,MAE_improvement_percent_vs_persistence,RMSE_improvement_vs_cpmlp,RMSE_improvement_percent_vs_cpmlp,MAE_improvement_vs_cpmlp,MAE_improvement_percent_vs_cpmlp,output_dir,config_name,early_cycle,fixed_len,split_gap,lr,huber_delta,target_scale,zero_output_init,mlp_embed_dim,model_hidden,dsconv_channels,dropout
10,cpmlp_dsconv_fusion,0.0157916886877804,0.007058043072877436,0.01362177198957971,0.005435523226033503,0.002050747829710011,11.493653502422294,0.0017416550722117842,19.792213817967568,0.00031451719804833494,1.9527702568676784,0.00016589404129312146,2.2964491339175948,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
10,cpmlp_cpdsconv_fusion,0.015926961089972644,0.007122106514037227,0.013623447995075692,0.005491268824038847,0.0019154754275177675,10.735503672046605,0.0016775916310519928,19.06419519615219,0.00017924479585609138,1.1128927391509527,0.00010183060013332999,1.4096274444800734,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
10,cpmlp_cpgru_fusion,0.015722341877489696,0.006892902769791639,0.013626513195343477,0.005376558262444675,0.002120094640000715,11.882315724774747,0.0019067953752975814,21.66887254378938,0.0003838640083390389,2.38332982367242,0.0003310343443789186,4.582464370150148,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
10,cpmlp,0.016106205885828735,0.007223937114170557,0.01404221446891474,0.005518229864622807,0.0017362306316616762,9.730905473362345,0.0015757610309186628,17.90698959143315,0.0,0.0,0.0,0.0,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
10,cpdsconv,0.01653693912857689,0.007070332234610483,0.015154969875199474,0.0058694066604886115,0.0013054973889135221,7.316811174492798,0.0017293659104787367,19.652559462438273,-0.00043073324274815403,-2.6743309119569902,0.00015360487956007397,2.126331903675641,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
10,persistence,0.01784243651749041,0.00879969814508922,0.016008446399651058,0.007213049218936726,0.0,0.0,0.0,0.0,-0.0017362306316616762,-10.779885989097671,-0.0015757610309186628,-21.813050224753923,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_10,optuna_gap20_h10_d82cdff636,20,100,20,0.0003,0.08,10.0,False,128,256,64,0.2
50,cpmlp_dsconv_fusion,0.04158328814021545,0.025060471115107154,0.04202480678451236,0.017549455151555635,0.01738319702773789,29.479791746490562,0.012457319489263083,33.20376623620262,0.004555671531181714,9.873806352868208,0.002338027501093385,8.533414672988417,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_50,optuna_gap20_h50_ada6c43285,20,60,20,0.0005,0.05,1.0,False,128,256,128,0.2
50,cpmlp_cpdsconv_fusion,0.04515266140405576,0.027659639299445236,0.044750386284341914,0.018786095114951516,0.013813823763897587,23.426568031911486,0.009858151304925001,26.275937751453522,0.0009862982673414095,2.1376690639881146,-0.0002611406832446969,-0.9531204132852968,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_50,optuna_gap20_h50_ada6c43285,20,60,20,0.0005,0.05,1.0,False,128,256,128,0.2
50,cpmlp_cpgru_fusion,0.04154267432439129,0.02555766540740009,0.04539013504793322,0.019253358688425457,0.01742381084356205,29.548667847395137,0.011960125196970147,31.878543497113554,0.004596285347005874,9.961831345441539,0.0018408332088004492,6.718737528603036,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_50,optuna_gap20_h50_ada6c43285,20,60,20,0.0005,0.05,1.0,False,128,256,128,0.2
50,cpmlp,0.04613895967139717,0.02739849861620054,0.04944142563906025,0.019260328525942904,0.012827525496556177,21.753925912354674,0.010119291988169698,26.971982691835162,0.0,0.0,0.0,0.0,C:\Users\kyucho\Desktop\UROP\model_comparison_from_tuned_gap20\horizon_50,optuna_gap20_h50_ada6c43285,20,60,20,0.0005,0.05,1.0,False,128,256,128,0.2
