epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.07319299944907806,0.04337306320667267,0.0009711654274724424,0.002082620281726122,0.0005
2,100.0,0.056508576717660734,0.03528671711683273,0.0007614039350301027,0.001878475770354271,0.0005
3,100.0,0.054130906253240435,0.03448667377233505,0.0007851888658478856,0.0018570588435977697,0.0005
4,100.0,0.0528491562333219,0.03851340338587761,0.0008584156166762114,0.0019624833948910236,0.0005
5,100.0,0.05172170166617295,0.03825918212532997,0.0007909829146228731,0.001955995336174965,0.0005
6,100.0,0.05167276593100185,0.03707260265946388,0.0007893762667663395,0.0019254246726632118,0.0005
7,100.0,0.05111098086207832,0.03657947853207588,0.0008694125572219491,0.0019125762628391385,0.0005
8,100.0,0.05047700309363686,0.03733040764927864,0.0008090450428426266,0.0019321079598739743,0.0005
9,100.0,0.04982006926220029,0.034714195877313614,0.0007784593035466969,0.001863174606114626,0.0005
10,100.0,0.049506452163699186,0.030763903632760048,0.0007040617638267577,0.0017539641121402383,0.0005
11,100.0,0.04907959378672953,0.03615433722734451,0.0008043756824918091,0.0019014294957742095,0.0005
12,100.0,0.04866726663420392,0.0387161485850811,0.000809148361440748,0.001967641757801175,0.0005
13,100.0,0.04666599942219984,0.0346142016351223,0.0007640836993232369,0.0018604893703013659,0.0005
14,100.0,0.04560266611326462,0.032023802399635315,0.0007255878881551325,0.0017895197961479425,0.0005
15,100.0,0.04500790182938562,0.03437719866633415,0.0007642514538019896,0.001854108995757997,0.0005
16,100.0,0.046756661062538146,0.03293917328119278,0.0007559822988696396,0.0018149149836972356,0.0005
17,100.0,0.04265953978904742,0.03516427427530289,0.0008066785521805286,0.001875213929452002,0.0005
18,100.0,0.040141207355839814,0.0334387831389904,0.0007320141885429621,0.0018286274280399084,0.0005
