epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.07313540579371486,0.03817315027117729,0.0008664379129186273,0.001953795086592436,0.0005
2,100.0,0.05578187292895523,0.03313402831554413,0.0008012486505322158,0.0018202754436060786,0.0005
3,100.0,0.05427150912123145,0.03611313924193382,0.0007749552605673671,0.001900345436297357,0.0005
4,100.0,0.05281182150742051,0.03494194895029068,0.0007980667287483811,0.0018692767480388284,0.0005
5,100.0,0.05235323658810667,0.03563257306814194,0.0007486189133487642,0.001887658960185945,0.0005
6,100.0,0.05126888199136919,0.034664351493120193,0.0007438365719281137,0.0018618365284055471,0.0005
7,100.0,0.05124518642451163,0.03476531058549881,0.0008551684441044927,0.0018645458621904254,0.0005
8,100.0,0.05009282331848458,0.031926266849040985,0.0006876330589875579,0.0017867923015728593,0.0005
9,100.0,0.04989053959517805,0.03599899634718895,0.0007938352064229548,0.0018973405240103602,0.0005
10,100.0,0.04953808302525431,0.03494371846318245,0.0007445000228472054,0.0018693237798288465,0.0005
11,100.0,0.04913617794032677,0.031245602294802666,0.0006960011087357998,0.001767642330378294,0.0005
12,100.0,0.04699592640220075,0.03525695204734802,0.0007520129438489676,0.001877683331258595,0.0005
13,100.0,0.041308713693892475,0.030703604221343994,0.0007104199612513185,0.0017522444250062108,0.0005
14,100.0,0.03739840565190004,0.034364212304353714,0.0007144609116949141,0.001853758585639298,0.0005
15,100.0,0.037781707789737044,0.03718659281730652,0.0008051269105635583,0.0019283825531601906,0.0005
16,100.0,0.03923762895116452,0.03244161605834961,0.0007187025039456785,0.0018011556239798665,0.0005
